lead_id,nome,pipeline_id,status_id,etapa,tags
60837601,Lead #60837601,13257796,102232092,Follow-up,
60792761,Lead #60792761,13257796,102232092,Follow-up,
60750571,Lead #60750571,13257796,102232092,Follow-up,
60725779,Lead #60725779,13257796,102232092,Follow-up,
60665059,Lead #60665059,13257796,102232092,Follow-up,
60636509,Lead #60636509,13257796,102232092,Follow-up,
60635625,Lead #60635625,13257796,102232092,Follow-up,
60598371,Lead #60598371,13257796,102232092,Follow-up,
60583355,Lead #60583355,13257796,102232092,Follow-up,
60576259,Lead #60576259,13257796,102232092,Follow-up,
60562667,Lead #60562667,13257796,102232092,Follow-up,
60532211,Lead #60532211,13257796,102232092,Follow-up,
60439147,Lead #60439147,13257796,102232092,Follow-up,
60322033,Lead #60322033,13257796,102232084,degustação ativo,
60430151,Lead #60430151,13257796,102232092,Follow-up,
60342813,Lead #60342813,13257796,102232092,Follow-up,
60375217,Lead #60375217,13257796,102232084,degustação ativo,
59659949,Lead #59659949,13257796,102232092,Follow-up,
59572751,Lead #59572751,13257796,102232092,Follow-up,
59521431,Lead #59521431,13257796,102232092,Follow-up,
59667149,Lead #59667149,13257796,107834232,Muito quente,
59362261,Lead #59362261,13257796,102232092,Follow-up,
59355931,Lead #59355931,13257796,102232092,Follow-up,
59354593,Lead #59354593,13257796,103047284,venda perdida,
58024695,Lead #58024695,13257796,102232092,Follow-up,
59142421,Lead #59142421,13257796,102232084,degustação ativo,
60721295,Lead #60721295,13257796,102232092,Follow-up,
57657541,Lead #57657541,13257796,102232084,degustação ativo,
59365979,Lead #59365979,13257796,102232092,Follow-up,
59597501,Lead #59597501,13257796,107834232,Muito quente,
59337735,Lead #59337735,13257796,103047284,venda perdida,
61064999,Lead #61064999,13257796,102232092,Follow-up,
59279697,Lead #59279697,13257796,102232092,Follow-up,
57982701,Lead #57982701,13257796,102232092,Follow-up,
58065345,Lead #58065345,13257796,102232092,Follow-up,
58111751,Lead #58111751,13257796,102232092,Follow-up,
58213811,Lead #58213811,13257796,102232092,Follow-up,
58231907,Lead #58231907,13257796,102232092,Follow-up,
58279537,Lead #58279537,13257796,102232092,Follow-up,
58298313,Lead #58298313,13257796,102232092,Follow-up,
58669124,Lead #58669124,13257796,102232092,Follow-up,
60567979,Lead #60567979,13257796,102232092,Follow-up,
58517798,Lead #58517798,13257796,102232092,Follow-up,
58694586,Lead #58694586,13257796,102232092,Follow-up,
58761580,Lead #58761580,13257796,102232092,Follow-up,
58908309,Lead #58908309,13257796,102232088,Apresentando,
59007531,Lead #59007531,13257796,102232092,Follow-up,
58927617,Lead #58927617,13257796,102232092,Follow-up,
59319901,Lead #59319901,13257796,102232088,Apresentando,
56341299,Lead #56341299,13257796,103047284,venda perdida,
57512635,Lead #57512635,13257796,102232084,degustação ativo,
61194683,Lead #61194683,13257796,102232092,Follow-up,
57773909,Lead #57773909,13257796,102232084,degustação ativo,
59202579,Lead #59202579,13257796,102232084,degustação ativo,
61383695,Lead #61383695,13257796,102232088,Apresentando,
58762802,Lead #58762802,13257796,107834232,Muito quente,
61301727,Lead #61301727,13257796,102232092,Follow-up,
59357095,Lead #59357095,13257796,102232084,degustação ativo,
58116125,Lead #58116125,13257796,102232084,degustação ativo,
58956881,Lead #58956881,13257796,102232084,degustação ativo,
60339111,Lead #60339111,13257796,103047284,venda perdida,
59073021,Lead #59073021,13257796,107834232,Muito quente,
58301569,Lead #58301569,13257796,107834232,Muito quente,
59089751,Lead #59089751,13257796,102232084,degustação ativo,
60342123,Lead #60342123,13257796,102232084,degustação ativo,
60379141,Lead #60379141,13257796,107834232,Muito quente,
58334339,Lead #58334339,13257796,102232084,degustação ativo,
56997415,Lead #56997415,13257796,102232084,degustação ativo,
60976245,Lead #60976245,13257796,102232084,degustação ativo,
61300179,Lead #61300179,13257796,102232084,degustação ativo,
58906537,Lead #58906537,13257796,102232084,degustação ativo,
60531823,Lead #60531823,13257796,102232084,degustação ativo,
59093125,Lead #59093125,13257796,102232084,degustação ativo,
59635907,Lead #59635907,13257796,103047280,Efetivou Anual,
55411879,Lead #55411879,13257796,102232084,degustação ativo,
59162197,Lead #59162197,13257796,102232084,degustação ativo,
61071019,Lead #61071019,13257796,102232084,degustação ativo,
